level,letter,color,rowEnd
1.1,a,pink,
1.2,b,yellow,
1.2,c,yellow,
1.1,d,yellow,
1.2,e,pink,
1.1,f,yellow,TRUE
1.1,g,yellow,
1.2,h,yellow,
1.1,i,pink,
1.2,j,yellow,
1.2,k,yellow,
1.1,l,yellow,TRUE
1.1,m,yellow,
1.1,n,yellow,
1.1,o,pink,
1.1,p,yellow,
1.1,r,yellow,
1.2,qu,yellow,
1.1,s,yellow,TRUE
1.1,t,yellow,
1.2,u,pink,
1.2,v,yellow,
1.2,w,yellow,
1.2,x,yellow,
1.2,y,yellow,
1.2,z,yellow,TRUE
1.2,wh,yellow,
1.2,ch,yellow,
1.2,sh,yellow,
1.2,th,yellow,
1.2,ck,yellow,
5.1,y,pink,
3.1,ə,pink,TRUE
1.3,same as 1.2,,
1.4,all,green,
1.5,am,green,
1.5,an,green,TRUE
2.1,ang,green,
2.1,ank,green,
2.1,ing,green,
2.1,ink,green,
2.1,ong,green,
2.1,onk,green,
2.1,ung,green,
2.1,unk,green,TRUE
2.3,ild,green,
2.3,ind,green,
2.3,old,green,
2.3,olt,green,
2.3,ost,green,TRUE
4.4,ive,green,
6.4,stle,green,
1.6,s,bright yellow,
1.6,es,bright yellow,
3.5,ed,bright yellow,
3.5,ing,bright yellow,
4.4,ive,bright yellow,
6.1,able,bright yellow,
6.1,en,bright yellow,
6.1,er,bright yellow,
6.1,est,bright yellow,
6.1,ish,bright yellow,
6.1,or,bright yellow,
6.1,y,bright yellow,
6.1,ful,bright yellow,
6.1,less,bright yellow,
6.1,ly,bright yellow,
6.1,ment,bright yellow,
6.1,ness,bright yellow,
6.1,ty,bright yellow,TRUE
3.1,mid,bright yellow,
3.1,mis,bright yellow,
3.1,non,bright yellow,
3.1,trans,bright yellow,
3.1,un,bright yellow,
3.2,dis,bright yellow,
3.2,en,bright yellow,
3.2,em,bright yellow,
3.2,ing,bright yellow,
3.2,im,bright yellow,
3.2,sub,bright yellow,
3.2,ab,bright yellow,
3.2,ad,bright yellow,
3.2,con,bright yellow,
3.2,com,bright yellow,
3.2,ex,bright yellow,
3.2,ob,bright yellow,TRUE
4.2,fore,bright yellow,
5.1,co,bright yellow,
5.1,de,bright yellow,
5.1,e,bright yellow,
5.1,pre,bright yellow,
5.1,pro,bright yellow,
5.1,re,bright yellow,
5.5,a,bright yellow,TRUE
2.5,same,,
3.1,transparent box,,
3.2,same as 3.1,,
3.3,same as 3.2,,
3.4,same as 3.3,,
4.1,same as 3.5,,
4.2,same as 4.1,,
4.3,same as 4.2,,
5.2,same,,
5.3,same,,
5.4,same,,
5.5,same,,
6.1,same,,
6.2,same,,
6.3,same,,
